Index,Doppler
345,6.606099164
346,6.676254516
347,6.500123314
348,6.48328603
349,6.340169112
350,6.197052194
351,6.003423422
352,5.893215742
353,5.856347895
354,5.789840621
355,5.730910125
356,5.638305061
357,5.628062379
358,5.628062379
359,5.585969168
360,5.327287252
361,5.11247609
362,5.011452383
363,4.735975701
364,4.577224162
365,4.473394241
366,4.504872642
367,4.469794966
368,4.144858232
369,4.02699724
370,3.779402813
371,3.493501629
372,3.404782091
373,3.320595669
374,3.166253894
375,3.05987287
376,3.01216723
377,2.978492661
378,3.007634115
379,3.0244714
380,3.007634115
381,3.035480394
382,2.929923572
383,2.908876966
384,2.908876966
385,2.929599778
386,2.883016624
387,2.849342055
388,2.860822022
389,2.891690377
390,2.933783588
391,3.026388652
392,3.211598782
393,3.644106527
394,4.047354195
395,4.369458768
396,4.803895785
397,5.311863707
398,5.926967728
399,6.252753299
400,6.843190174
401,7.39879933
402,7.710289093
403,8.218213841
404,8.728689693
405,9.131686437
406,9.511820514
407,9.818021643
408,10.10425548
409,10.15476733
410,10.17743291
411,10.16512874
412,10.21564059
413,10.2404013
414,10.27019035
415,10.37431566
416,10.46411451
417,10.48630911
418,10.64065088
419,10.98198856
420,11.22612919
421,11.34049952
422,11.25989102
423,11.14860416
424,11.26040373
425,11.38641029
426,11.42889205
427,11.13850709
428,11.14864185
429,11.07568689
430,11.05592071
431,11.07275799
432,11.04188964
433,10.98486525
434,11.08333896
435,11.21026619
436,11.31966015
437,11.57686419
438,11.95167678
439,12.51791247
440,13.0662283
441,13.25216003
442,13.2867307
443,13.30356798
444,13.22858413
445,13.13878528
446,13.11352935
447,12.95357515
448,12.57014426
449,12.24181721
450,11.97591132
451,11.67873325
452,11.41483458
453,11.03363846
454,10.34831836
455,9.760308576
456,9.410333591
457,9.046351118
458,8.501863951
459,7.936879516
460,7.600133826
461,7.109046362
462,6.644114931
463,6.171785929
464,5.676204598
465,5.261904679
466,4.718466807
467,4.29314236
468,3.667976174
469,3.094404417
470,2.857960836
471,2.748117599
472,2.672349819
473,2.643208365
474,2.643208365
475,2.663931177
476,2.647093893
477,2.693072631
478,2.707103701
479,3.146202357
480,3.698675754
481,3.791776033
482,3.979644681
483,4.008786135
484,4.045051055
485,4.077041896
486,4.096685395
487,4.12369065
488,4.146140362
489,4.166038971
490,4.157620329
491,4.186761783
492,4.166038971
493,4.162977647
494,4.132541017
495,4.124122375
496,4.166215586
497,4.249466604
498,4.368092926
499,4.437125793
500,4.634640091
501,4.735663798
502,4.962967139
503,5.377461466
504,5.56720471
505,5.764915247
506,5.912565281
507,6.021109641
508,5.69598645
509,5.61195036
510,5.746153422
511,5.779352083
512,5.914374153
513,6.230594123
514,6.51500392
515,6.81702271
516,7.334881321
517,7.764933628
518,8.083694037
519,8.336253304
520,8.707839221
521,9.225721503
522,9.495118055
523,9.848163669
524,10.48988659
525,10.86473771
526,11.1013951
527,11.30889965
528,11.59795276
529,11.59827655
530,11.84509584
531,11.75249077
532,11.63182759
533,11.84941711
534,11.95707369
535,12.0212374
536,11.98605549
537,12.32515604
538,12.1000175
539,12.10843614
540,12.06416032
541,12.00943914
542,11.86110633
543,11.72258345
544,11.57210022
545,11.29616194
546,11.10419474
547,11.18280755
548,11.27878008
549,11.12219333
550,10.62632903
551,10.39902569
552,10.11184358
553,9.486957942
554,9.120525461
555,8.859547551
556,8.583928525
557,8.288381041
558,8.107380233
559,7.771017209
560,7.658768646
561,7.364937498
562,6.928463278
563,6.63457613
564,6.435714149
565,6.415669762
566,5.928919175
567,5.622480597
568,5.353084045
569,5.028642525
570,4.930680143
571,4.73494671
572,4.581029698
573,4.387400926
574,4.32400927
575,4.383878066
576,3.997474588
577,3.648942799
578,3.427251887
579,3.396815257
580,3.346303404
581,3.280439909
582,3.272021267
583,3.23298938
584,3.182477526
585,3.151864282
586,3.123000366
587,3.123000366
588,3.131163898
589,3.374872797
590,3.462102958
591,3.501145058
592,3.518992591
593,3.598368373
594,3.683851757
595,3.789147595
596,3.581838339
597,3.030022862
598,3.122247662
599,3.327799226
600,3.650808827
